  站台     日期     月降水量  降水次数  ph值    电导率    酸雨频率   强酸雨频率
58448  202006   172.7         16       5.24       29.0      0.547      0.040
58450  202006   157.1         14       5.37       39.5      0.188      0.029
58452  202006   162.7         14       6.49       59.4      0.016      0.000
58453  202006   168.5         15       4.47       43.4      0.493      0.449
58457  202006   167.6         14       5.15       26.3      0.516      0.016
58477  202006   147.6         14       5.21       45.8      0.540      0.000
58549  202006   190.3         16       5.32       36.0      0.412      0.015
58557  202006   177.6         14       5.44       29.6      0.246      0.014
58633  202006   233.3         15       4.79       31.5      0.594      0.172
58646  202006   132.6         11       5.56       23.6      0.415      0.000
58659  202006   127.9         14       5.14       32.4      0.455      0.045
58665  202006   127.9         15       5.20       44.7      0.493      0.030
58742  202006   131.9         14       6.26       28.6      0.057      0.000
TOTAL  202006   161.4         14       5.09       36.0      0.382      0.063

