  站台     日期     月降水量  降水次数  ph值    电导率    酸雨频率   强酸雨频率
58448  202001   198.0         17       5.21       39.0      0.857      0.143
58450  202001   189.6         18       4.78       42.0      0.417      0.167
58452  202001   185.3         17       6.25       51.3      0.083      0.000
58453  202001   215.4         16       4.54       55.0      0.750      0.167
58457  202001   227.6         17       5.08       30.8      0.923      0.000
58477  202001   139.8         16       5.03       52.0      0.833      0.000
58549  202001   161.8         17       5.15       35.4      0.636      0.091
58557  202001   146.2         14       5.22       42.4      0.364      0.000
58633  202001   159.7         13       4.68       33.6      0.556      0.444
58646  202001    74.4          8       5.93       33.2      0.000      0.000
58659  202001    46.6         12       5.10       46.0      0.444      0.000
58665  202001    72.9         14       5.04       64.2      0.300      0.200
58742  202001    64.8         10       7.04       58.7      0.000      0.000
TOTAL  202001   144.8         15       4.96       44.7      0.511      0.092

58448  202002    84.0         14       5.32       33.4      0.700      0.000
58450  202002    76.2         10       5.54       36.9      0.300      0.000
58452  202002    63.4         13       6.41       54.8      0.000      0.000
58453  202002    93.8         14       4.37       43.5      0.444      0.556
58457  202002    89.2         13       5.19       19.5      0.625      0.000
58477  202002   121.3          9       5.10       61.3      0.571      0.000
58549  202002    74.3         10       5.37       45.2      0.714      0.000
58557  202002    95.9         13       5.86       24.7      0.111      0.111
58633  202002   122.7         10       5.28       35.7      0.571      0.000
58646  202002    92.4          7       5.86       28.8      0.000      0.000
58659  202002    87.4         10       5.61       16.2      0.429      0.000
58665  202002    82.0         10       5.18       34.3      0.875      0.000
58742  202002    84.3         13       6.67       20.2      0.000      0.000
TOTAL  202002    89.8         11       5.15       34.7      0.406      0.057

58448  202003   176.2         15       5.24       24.3      0.700      0.000
58450  202003   124.1         14       5.79       36.0      0.273      0.000
58452  202003   121.3         15       6.71       75.8      0.000      0.000
58453  202003   180.0         16       4.39       43.1      0.500      0.500
58457  202003   150.2         17       5.13       27.1      0.900      0.000
58477  202003   116.4         15       4.98       33.5      0.833      0.000
58549  202003   200.9         20       5.12       23.8      0.692      0.000
58557  202003   137.8         17       5.47       28.9      0.333      0.000
58633  202003   179.0         18       4.60       31.4      0.583      0.250
58646  202003   153.5         15       5.95       25.0      0.067      0.000
58659  202003   216.0         17       5.06       22.3      0.462      0.000
58665  202003   138.3         16       4.84       30.2      0.909      0.000
58742  202003   197.3         18       6.20       18.5      0.118      0.000
TOTAL  202003   160.8         16       4.99       31.8      0.463      0.056

58448  202004    46.4          9       5.64       62.8      0.429      0.000
58450  202004    65.7          8       5.61       53.1      0.400      0.000
58452  202004    40.0          8       6.32       93.3      0.000      0.000
58453  202004    47.6          9       4.44       33.9      0.500      0.500
58457  202004    43.1          8       4.98       52.8      0.600      0.000
58477  202004    45.6          7       5.02       39.1      0.500      0.000
58549  202004    81.5         13       4.88       72.9      0.333      0.000
58557  202004    66.8          9       5.37       55.9      0.333      0.000
58633  202004   103.1          9       4.48       35.6      0.667      0.333
58646  202004    46.2          7       5.32       22.7      0.714      0.000
58659  202004    66.1         12       4.50       48.4      0.500      0.375
58665  202004    55.1         10       5.39       60.9      0.500      0.000
58742  202004    59.4         11       6.07       33.0      0.286      0.000
TOTAL  202004    59.0          9       4.87       50.0      0.450      0.100

58448  202005   188.8         15       5.79       28.1      0.154      0.000
58450  202005   112.8         13       7.06       51.2      0.000      0.000
58452  202005   178.3         11       6.59       72.3      0.000      0.000
58453  202005   161.1         14       4.62       50.1      0.385      0.538
58457  202005   143.5         12       4.73       26.3      0.250      0.125
58477  202005   137.5         16       5.11       44.5      0.455      0.000
58549  202005   236.4         18       5.66       42.9      0.231      0.000
58557  202005   243.1         16       5.89       32.8      0.143      0.000
58633  202005   301.2         20       4.73       41.9      0.714      0.071
58646  202005   222.8         14       5.38       19.5      0.786      0.000
58659  202005   120.6         17       5.44       50.3      0.692      0.000
58665  202005   199.6         18       5.35       52.0      0.385      0.000
58742  202005   121.8         15       6.62       34.0      0.000      0.000
TOTAL  202005   182.1         15       5.15       41.4      0.340      0.057

58448  202006   342.9         23       5.08       11.8      0.476      0.048
58450  202006   373.9         23       6.09       31.6      0.000      0.000
58452  202006   387.7         22       6.60       39.1      0.000      0.000
58453  202006   313.1         20       4.44       33.5      0.412      0.471
58457  202006   351.9         20       5.86       18.3      0.056      0.000
58477  202006   325.2         19       5.81       47.0      0.133      0.000
58549  202006   386.6         19       5.62       24.5      0.111      0.000
58557  202006   375.6         18       5.31       12.5      0.235      0.000
58633  202006   534.4         18       5.02       18.0      0.500      0.062
58646  202006   206.2         14       5.50       18.8      0.714      0.000
58659  202006   230.9         19       5.66       17.6      0.250      0.000
58665  202006   219.8         22       5.58       37.1      0.263      0.000
58742  202006   263.9         19       6.10       22.8      0.000      0.000
TOTAL  202006   331.7         20       5.23       25.4      0.237      0.045

