  站台     日期     月降水量  降水次数  ph值    电导率    酸雨频率   强酸雨频率
58448  202003   176.2         15       5.24       24.3      0.700      0.000
58450  202003   124.1         14       5.79       36.0      0.273      0.000
58452  202003   121.3         15       6.71       75.8      0.000      0.000
58453  202003   180.0         16       4.39       43.1      0.500      0.500
58457  202003   150.2         17       5.13       27.1      0.900      0.000
58477  202003   116.4         15       4.98       33.5      0.833      0.000
58549  202003   200.9         20       5.12       23.8      0.692      0.000
58557  202003   137.8         17       5.47       28.9      0.333      0.000
58633  202003   179.0         18       4.60       31.4      0.583      0.250
58646  202003   153.5         15       5.95       25.0      0.067      0.000
58659  202003   216.0         17       5.06       22.3      0.462      0.000
58665  202003   138.3         16       4.84       30.2      0.909      0.000
58742  202003   197.3         18       6.20       18.5      0.118      0.000
TOTAL  202003   160.8         16       4.99       31.8      0.463      0.056

