  站台     日期     月降水量  降水次数  ph值    电导率    酸雨频率   强酸雨频率
58448  202001   198.0         17       5.21       39.0      0.857      0.143
58450  202001   189.6         18       4.78       42.0      0.417      0.167
58452  202001   185.3         17       6.25       51.3      0.083      0.000
58453  202001   215.4         16       4.54       55.0      0.750      0.167
58457  202001   227.6         17       5.08       30.8      0.923      0.000
58477  202001   139.8         16       5.03       52.0      0.833      0.000
58549  202001   161.8         17       5.15       35.4      0.636      0.091
58557  202001   146.2         14       5.22       42.4      0.364      0.000
58633  202001   159.7         13       4.68       33.6      0.556      0.444
58646  202001    74.4          8       5.93       33.2      0.000      0.000
58659  202001    46.6         12       5.10       46.0      0.444      0.000
58665  202001    72.9         14       5.04       64.2      0.300      0.200
58742  202001    64.8         10       7.04       58.7      0.000      0.000
TOTAL  202001   144.8         15       4.96       44.7      0.511      0.092

